mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.79879732131958,0.3410261203978427,0.03979835510253906,0.003263352838193661,0.1,1000,saga,"{'C': 0.1, 'max_iter': 1000, 'solver': 'saga'}",0.3057102230707662,0.3040070046496975,0.30685294587793766,0.30357490469620707,0.30658549876125923,0.3053461154111735,0.001331885022073995,1
7.746185636520385,0.3351578999964606,0.03962798118591308,0.006042841328351032,0.1,3000,saga,"{'C': 0.1, 'max_iter': 3000, 'solver': 'saga'}",0.3057102230707662,0.3040070046496975,0.30685294587793766,0.30357490469620707,0.30658549876125923,0.3053461154111735,0.001331885022073995,1
7.753252601623535,0.2854114264567773,0.0361823558807373,0.0009802798350855978,0.1,5000,saga,"{'C': 0.1, 'max_iter': 5000, 'solver': 'saga'}",0.3057102230707662,0.3040070046496975,0.30685294587793766,0.30357490469620707,0.30658549876125923,0.3053461154111735,0.001331885022073995,1
7.894008779525757,0.3915431011901166,0.0390221118927002,0.0026275811683868304,1.0,1000,saga,"{'C': 1.0, 'max_iter': 1000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357940700948977,0.3065810291124625,0.3053427455041958,0.0013348047649142166,4
7.80784273147583,0.3057562468338071,0.04139876365661621,0.004740963100867622,1.0,3000,saga,"{'C': 1.0, 'max_iter': 3000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357940700948977,0.3065810291124625,0.3053427455041958,0.0013348047649142166,4
7.767703247070313,0.4279821479459861,0.037951183319091794,0.004683258304683813,1.0,5000,saga,"{'C': 1.0, 'max_iter': 5000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357940700948977,0.3065810291124625,0.3053427455041958,0.0013348047649142166,4
7.837314558029175,0.45544136969101123,0.04240846633911133,0.004864231222622226,10.0,1000,saga,"{'C': 10.0, 'max_iter': 1000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357822674442075,0.3065810291124625,0.305342509451182,0.0013351166488565173,7
7.621816825866699,0.22365424421940003,0.03570423126220703,0.004633801522048357,10.0,3000,saga,"{'C': 10.0, 'max_iter': 3000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357822674442075,0.3065810291124625,0.305342509451182,0.0013351166488565173,7
7.32784366607666,0.34734039040283016,0.031183576583862303,0.0007166374625214582,10.0,5000,saga,"{'C': 10.0, 'max_iter': 5000, 'solver': 'saga'}",0.3056996807239872,0.3039907908879948,0.30686281978704505,0.30357822674442075,0.3065810291124625,0.305342509451182,0.0013351166488565173,7
7.463835144042969,0.6376488373605844,0.043016481399536136,0.004495454942647039,0.01,1000,saga,"{'C': 0.01, 'max_iter': 1000, 'solver': 'saga'}",0.3056137345555133,0.3039460308452272,0.30686535854104774,0.30355490884386743,0.3065612413513018,0.3053082548273915,0.001342962500146581,10
7.505110025405884,0.6216503582610697,0.04112462997436524,0.0038066170839806263,0.01,3000,saga,"{'C': 0.01, 'max_iter': 3000, 'solver': 'saga'}",0.3056137345555133,0.3039460308452272,0.30686535854104774,0.30355490884386743,0.3065612413513018,0.3053082548273915,0.001342962500146581,10
7.196711587905884,0.5917972434649331,0.036809253692626956,0.00395417878998825,0.01,5000,saga,"{'C': 0.01, 'max_iter': 5000, 'solver': 'saga'}",0.3056137345555133,0.3039460308452272,0.30686535854104774,0.30355490884386743,0.3065612413513018,0.3053082548273915,0.001342962500146581,10
